./opcode/0/351f49ccd591afe44a81d5d1bf4eca30.vir.txt
B A B A  : 0.0006469378276159511
1A F F 10  : 1.658814942605003e-05
E 4 2 2  : 0.0005805852299117511
2 2 12 F  : 0.0003317629885210006
F 10 F 6  : 1.658814942605003e-05
7 2 10 2  : 3.317629885210006e-05
6 1 1 2  : 1.658814942605003e-05
9 2 5 3  : 3.317629885210006e-05
8 17 E 8  : 1.658814942605003e-05
17 F F 10  : 1.658814942605003e-05
2 2 4 6  : 0.006419613827881362
2 4 2 4  : 0.0036991573220091565
2 F F 10  : 0.0017915201380134032
E 1 2 12  : 8.294074713025015e-05
3 3C 14 B  : 1.658814942605003e-05
4 6 7 8  : 0.0005971733793378011
32 2 5 3  : 1.658814942605003e-05
2 2 2 4  : 0.024052816667772543
2 4 2 F  : 0.0014929334483445027
F F 10 6  : 0.00021564594253865039
9 2 14 1  : 1.658814942605003e-05
E 3 14 8  : 1.658814942605003e-05
1 37 E 8  : 1.658814942605003e-05
17 F F F  : 4.976444827815009e-05
F 10 8 23  : 1.658814942605003e-05
8 17 2 8  : 3.317629885210006e-05
32 E 14 B  : 1.658814942605003e-05
B 3 8 7  : 1.658814942605003e-05
1 4 F 2  : 0.0004810563333554509
4 F A 2  : 0.00013270519540840023
14 1B 2 2  : 3.317629885210006e-05
2 A 2 14  : 1.658814942605003e-05
B B 8 17  : 1.658814942605003e-05
4 2 E 2  : 0.00043129188507730077
8 17 E 2  : 1.658814942605003e-05
4 2 2 F  : 0.0005308207816336009
F 10 2 6  : 0.00013270519540840023
7 14 E 8  : 1.658814942605003e-05
37 8 7 2  : 1.658814942605003e-05
1 1 4 F  : 0.00023223409196470042
F A 2 14  : 1.658814942605003e-05
2 6 7 14  : 1.658814942605003e-05
E 8 37 8  : 1.658814942605003e-05
17 2 1 1  : 1.658814942605003e-05
35 B 12 3  : 1.658814942605003e-05
3C 14 E 14  : 1.658814942605003e-05
B E 3 37  : 1.658814942605003e-05
14 B A 2  : 1.658814942605003e-05
17 B 4 1B  : 1.658814942605003e-05
2 2 35 B  : 3.317629885210006e-05
12 3 3C 14  : 3.317629885210006e-05
B 2 2 1  : 9.952889655630017e-05
4 F 6 7  : 0.0003151748390949506
8 32 2 2  : 0.0001658814942605003
6 9 3 8  : 1.658814942605003e-05
32 2 35 B  : 1.658814942605003e-05
B 2 1 4  : 3.317629885210006e-05
F 6 7 8  : 1.658814942605003e-05
32 2 2 2  : 3.317629885210006e-05
4 2 F F  : 0.0006967022758941013
10 35 8 17  : 1.658814942605003e-05
7 8 32 2  : 3.317629885210006e-05
4 2 4 2  : 0.002372105367925154
F F 10 12  : 0.00024882224139075043
F F 10 1  : 0.010433945988985468
E 14 4 8  : 1.658814942605003e-05
1A E 1B 8  : 1.658814942605003e-05
23 19 5D 54  : 1.658814942605003e-05
B 28 2 C6  : 1.658814942605003e-05
3 2 14 B  : 1.658814942605003e-05
2 2 3 2  : 0.000514232632207551
14 6 9 12  : 1.658814942605003e-05
10 8 7 2  : 0.0003151748390949506
8 17 2 B  : 3.317629885210006e-05
8 23 B 10  : 1.658814942605003e-05
8 7 2 A  : 0.00023223409196470042
12 10 1 1  : 9.952889655630017e-05
2 B 2 2  : 0.0014929334483445027
8 9 2 8  : 0.0005971733793378011
32 2 2 3  : 1.658814942605003e-05
2 14 B 5  : 1.658814942605003e-05
3 2 F F  : 3.317629885210006e-05
10 2 21 2  : 1.658814942605003e-05
2 B 2 52  : 1.658814942605003e-05
35 2 14 35  : 1.658814942605003e-05
E B 2 1B  : 1.658814942605003e-05
2 2 8 1A  : 1.658814942605003e-05
35 14 1B 1B  : 3.317629885210006e-05
2 E E 8  : 3.317629885210006e-05
1A 35 14 1B  : 3.317629885210006e-05
1B 2 E E  : 3.317629885210006e-05
8 1A 35 14  : 3.317629885210006e-05
1B 1B 2 E  : 3.317629885210006e-05
E 8 1A 35  : 4.976444827815009e-05
14 1B 1B 2  : 3.317629885210006e-05
E E 8 1A  : 1.658814942605003e-05
1B 2 E F  : 1.658814942605003e-05
10 1 1 2  : 0.0029858668966890054
2 B F F  : 0.0004478800345033508
10 1 2 1  : 0.0032346891380797558
1 2 2 2  : 0.01134629420741822
8 17 2 2  : 6.635259770420012e-05
B B 8 23  : 1.658814942605003e-05
1 2 B 1  : 0.0036328047243049566
2 B 1 4  : 6.635259770420012e-05
8 33 2 2  : 0.0004976444827815009
2 B 2 B  : 0.00021564594253865039
8 32 2 8  : 6.635259770420012e-05
9 2 6 7  : 0.0003317629885210006
B 8 7 12  : 1.658814942605003e-05
A 2 6 7  : 0.000547408931059651
B 2 6 7  : 0.0001658814942605003
2 1 E 2  : 0.0011943467586756022
3 4 F 6  : 1.658814942605003e-05
9 12 A 2  : 0.0009123482184327516
2 12 2 8  : 0.00013270519540840023
17 1 12 2  : 1.658814942605003e-05
4 F 6 9  : 0.00014929334483445027
12 2 F 2  : 1.658814942605003e-05
F 10 8 7  : 0.0004976444827815009
A 1 4 2  : 6.635259770420012e-05
2 12 4 6  : 8.294074713025015e-05
7 1 4 2  : 0.00013270519540840023
9 8 9 1  : 3.317629885210006e-05
1 1 1 4  : 0.0011611704598235022
2 8 27 10  : 1.658814942605003e-05
1 2 4 6  : 3.317629885210006e-05
7 2 8 33  : 6.635259770420012e-05
2 15 2 A  : 3.317629885210006e-05
12 2 F 10  : 0.00014929334483445027
2 12 8 7  : 4.976444827815009e-05
2 21 6 1D  : 0.0011777586092495522
15 12 2 8  : 3.317629885210006e-05
21 2 A 15  : 1.658814942605003e-05
21 9 2 2  : 0.0002819985402428505
1 1 2 2  : 0.011744409793643421
2 3 35 D  : 1.658814942605003e-05
2 E E E  : 4.976444827815009e-05
2 4 A 2  : 0.0030190431955411053
3 6 9 2  : 1.658814942605003e-05
4 6 9 2  : 0.0013768164023621524
2 12 2 4  : 0.0012606993563798023
8 23 2 B  : 1.658814942605003e-05
2 2 8 29  : 0.0004976444827815009
2 2 5 3  : 0.00014929334483445027
8 29 2 B  : 9.952889655630017e-05
2 2 2 6  : 0.001642226793178953
29 2 8 7  : 4.976444827815009e-05
8 17 12 A  : 3.317629885210006e-05
2 2 15 21  : 6.635259770420012e-05
9 8 7 2  : 0.0006303496781899011
8 9 2 A  : 0.00038152743679915066
2 8 7 8  : 0.0006303496781899011
7 15 8 29  : 1.658814942605003e-05
8 38 2 A  : 4.976444827815009e-05
12 15 2 2  : 3.317629885210006e-05
5 B 2 8  : 1.658814942605003e-05
32 F F F  : 1.658814942605003e-05
2 F 10 1  : 0.0039645677128259576
2 1 2 B  : 0.00026541039081680047
1 21 9 2  : 1.658814942605003e-05
B 1 1 1  : 0.0017915201380134032
E 12 2 4  : 0.0003317629885210006
A 2 4 2  : 0.0007962311724504014
6 7 2 3  : 6.635259770420012e-05
2 6 9 6  : 6.635259770420012e-05
7 1 2 4  : 0.00014929334483445027
F A 8 33  : 1.658814942605003e-05
14 3 2 2  : 1.658814942605003e-05
2 2 2 15  : 0.00018246964368655034
2 4 2 6  : 0.0019574016322739035
9 2 8 9  : 0.00029858668966890054
2 A 2 B  : 0.0001658814942605003
2 14 3 3  : 3.317629885210006e-05
2 2 15 2  : 0.00014929334483445027
8 7 8 1D  : 3.317629885210006e-05
8 9 2 12  : 8.294074713025015e-05
2 E 2 2  : 0.0012772875058058523
E 2 2 5  : 1.658814942605003e-05
3 2 2 2  : 0.00041470373565125074
2 2 E 8  : 1.658814942605003e-05
37 8 32 8  : 1.658814942605003e-05
4 2 2 8  : 0.0005971733793378011
9 2 15 2  : 3.317629885210006e-05
15 2 15 2  : 0.00014929334483445027
4 2 2 15  : 8.294074713025015e-05
2 15 2 15  : 0.0001658814942605003
2 2 A 2  : 0.0018578727357176034
3 17 7 A  : 0.00014929334483445027
2 A 2 2  : 0.002206223873664654
2 4 2 A  : 0.0008128193218764515
E 2 4 5  : 4.976444827815009e-05
E 2 4 2  : 0.003417158781766306
2 15 2 2  : 0.0004976444827815009
4 2 21 3  : 6.635259770420012e-05
8 9 2 2  : 0.0029195142989848055
B B 21 9  : 0.00014929334483445027
8 29 8 7  : 8.294074713025015e-05
2 2 21 6  : 0.0004810563333554509
17 15 2 E  : 1.658814942605003e-05
8 7 2 15  : 4.976444827815009e-05
4 2 E 8  : 3.317629885210006e-05
37 15 B 21  : 1.658814942605003e-05
4 1 1 E  : 0.00029858668966890054
F F 2 F  : 0.002056930528830204
10 1 1 12  : 1.658814942605003e-05
12 2 8 7  : 0.00018246964368655034
6 9 5 35  : 1.658814942605003e-05
2 B B 8  : 4.976444827815009e-05
32 2 15 8  : 1.658814942605003e-05
37 2 15 B  : 1.658814942605003e-05
8 9 F F  : 8.294074713025015e-05
10 1 1 1  : 0.004130449207086458
2 2 8 9  : 0.0019242253334218035
2 E 2 E  : 0.00024882224139075043
2 12 2 2  : 0.0019905779311260034
5 B B E  : 1.658814942605003e-05
B 14 B 8  : 1.658814942605003e-05
23 2 B 35  : 1.658814942605003e-05
2 D 2 D  : 3.317629885210006e-05
B 2 5 5  : 3.317629885210006e-05
2 D E B  : 3.317629885210006e-05
14 B 8 23  : 1.658814942605003e-05
2 8 32 2  : 0.00019905779311260035
2 3 5 2  : 1.658814942605003e-05
12 36 C B  : 1.658814942605003e-05
14 B 2 B  : 1.658814942605003e-05
21 9 4 2  : 1.658814942605003e-05
2 2 B 21  : 8.294074713025015e-05
9 2 2 F  : 8.294074713025015e-05
2 8 9 2  : 0.0023886935173512043
2 2 12 2  : 0.002239400172516754
B 21 9 2  : 9.952889655630017e-05
9 2 A 2  : 0.00014929334483445027
2 1 4 12  : 0.00024882224139075043
2 8 7 4  : 0.00034835113794705065
8 7 1 1  : 0.00019905779311260035
2 4 10 6  : 3.317629885210006e-05
7 4 6 7  : 3.317629885210006e-05
2B 2 A 10  : 1.658814942605003e-05
6 29 4 6  : 1.658814942605003e-05
7 2B 2 A  : 1.658814942605003e-05
12 2B 6 7  : 1.658814942605003e-05
4 6 9 2B  : 1.658814942605003e-05
2 A 10 2  : 3.317629885210006e-05
6 7 6 7  : 0.00029858668966890054
1 2 4 F  : 0.0007132904253201513
1B 7 2 10  : 4.976444827815009e-05
4 1B 9 10  : 1.658814942605003e-05
2 A 6 7  : 8.294074713025015e-05
4 8 7 4  : 3.317629885210006e-05
2 2 10 12  : 3.317629885210006e-05
10 4 8 7  : 1.658814942605003e-05
4 2 2 10  : 4.976444827815009e-05
2 2 4 12  : 0.003367394333488156
2 A 12 2  : 0.0003317629885210006
4 10 1 1  : 0.000514232632207551
2 2 14 8  : 6.635259770420012e-05
7 2 2 4  : 0.0036328047243049566
6 9 4 2  : 6.635259770420012e-05
A 8 37 5  : 1.658814942605003e-05
5 5 2 4  : 4.976444827815009e-05
F F 10 14  : 4.976444827815009e-05
2 A 10 1  : 4.976444827815009e-05
F F F 9  : 1.658814942605003e-05
10 12 A 10  : 1.658814942605003e-05
1 2 4 2  : 0.000547408931059651
2 2 12 1B  : 1.658814942605003e-05
7 6 29 8  : 1.658814942605003e-05
38 3 15 6  : 1.658814942605003e-05
1D 8 38 B  : 1.658814942605003e-05
2 15 2B A  : 1.658814942605003e-05
2 A 12 A  : 1.658814942605003e-05
2 A 2 F  : 3.317629885210006e-05
F 10 10 1  : 0.00018246964368655034
4 2 4 12  : 0.00019905779311260035
2 2 F 10  : 0.0006137615287638511
8 7 8 37  : 3.317629885210006e-05
3 38 A 9D  : 1.658814942605003e-05
9D 8 29 9D  : 1.658814942605003e-05
8 29 9D 5A  : 1.658814942605003e-05
1 9D E E  : 1.658814942605003e-05
9D 1 19 14  : 1.658814942605003e-05
E F 9D 5A  : 1.658814942605003e-05
B 1D 5A F  : 1.658814942605003e-05
5A 10 29 8  : 1.658814942605003e-05
37 3 8 E  : 1.658814942605003e-05
32 3 1 9D  : 1.658814942605003e-05
9D B 14 3  : 1.658814942605003e-05
9D 5A 3 38  : 1.658814942605003e-05
F 5A 5A 10  : 1.658814942605003e-05
5 2 10 5  : 1.658814942605003e-05
2 2 10 2  : 6.635259770420012e-05
10 9D 5A 10  : 1.658814942605003e-05
1 2 2 A  : 3.317629885210006e-05
1 4 2 8  : 0.00043129188507730077
7 8 32 8  : 1.658814942605003e-05
9 8 9 B  : 1.658814942605003e-05
A 12 2 A  : 3.317629885210006e-05
8 9 1 4  : 0.00013270519540840023
2 A 1 4  : 0.00011611704598235021
2 2 3 B  : 3.317629885210006e-05
9 8 7 1  : 3.317629885210006e-05
4 2 A 1  : 6.635259770420012e-05
4 2 2 3  : 0.00024882224139075043
B 2 8 37  : 1.658814942605003e-05
2 12 A 8  : 1.658814942605003e-05
9 1 4 2  : 0.00013270519540840023
8 32 5 2  : 1.658814942605003e-05
15 15 8 37  : 1.658814942605003e-05
8 7 8 9  : 0.0007962311724504014
8 7 1 4  : 8.294074713025015e-05
2 8 32 5  : 1.658814942605003e-05
2 15 15 8  : 3.317629885210006e-05
37 8 37 2  : 1.658814942605003e-05
F F F F  : 0.00578926414969146
1 B 2 2  : 0.0013270519540840024
2 4 6 9  : 0.002737044655298255
1 E 1 1  : 0.0005971733793378011
4 A 4 2  : 8.294074713025015e-05
6 7 8 7  : 0.0009621126667109018
21 A B F  : 1.658814942605003e-05
F F 10 8  : 0.00034835113794705065
17 8 37 3  : 3.317629885210006e-05
10 2 11 50  : 1.658814942605003e-05
10 1 61 F  : 1.658814942605003e-05
10 3 5A 5B  : 1.658814942605003e-05
F F 10 3  : 4.976444827815009e-05
61 61 5B 1B  : 1.658814942605003e-05
50 5A 5B 50  : 1.658814942605003e-05
8 7 4 2  : 8.294074713025015e-05
A 10 1 5  : 1.658814942605003e-05
3 7 21 3  : 1.658814942605003e-05
23 2 4 2  : 0.00011611704598235021
A 12 A 8  : 4.976444827815009e-05
7 8 9 12  : 8.294074713025015e-05
10 2 4 10  : 0.0003151748390949506
1 1 2 12  : 0.0006635259770420012
5 8 17 8  : 1.658814942605003e-05
37 14 8 9  : 1.658814942605003e-05
9 2 4 2  : 0.0005805852299117511
6 7 2 4  : 0.002222812023090704
A 8 7 2  : 0.00041470373565125074
12 2 2 12  : 0.000563997080485701
2 15 B 17  : 1.658814942605003e-05
8 37 2 2  : 9.952889655630017e-05
2 15 B 2B  : 1.658814942605003e-05
3 32 2 A  : 1.658814942605003e-05
10 5 15 1F  : 1.658814942605003e-05
4 10 1 5  : 3.317629885210006e-05
15 15 5 1F  : 1.658814942605003e-05
4 F 10 1  : 0.002289164620794904
12 12 2 2  : 0.00021564594253865039
15 15 3 37  : 1.658814942605003e-05
B 1 35 7  : 1.658814942605003e-05
21 7 2 2  : 4.976444827815009e-05
8 9 B B  : 1.658814942605003e-05
21 9 A B  : 1.658814942605003e-05
B F 14 7  : 1.658814942605003e-05
2 8 9 21  : 8.294074713025015e-05
7 2 8 9  : 0.0007298785747462014
21 7 2 8  : 1.658814942605003e-05
9 B A F  : 1.658814942605003e-05
8 9 8 9  : 0.0005805852299117511
35 35 8 9  : 3.317629885210006e-05
8 F F F  : 4.976444827815009e-05
2 35 7 2  : 1.658814942605003e-05
7 2 2 8  : 0.00046446818392940084
9 B B 21  : 3.317629885210006e-05
9 A B B  : 3.317629885210006e-05
F 14 7 2  : 3.317629885210006e-05
8 9 21 7  : 1.658814942605003e-05
F 8 9 8  : 1.658814942605003e-05
9 35 35 8  : 1.658814942605003e-05
9 8 F F  : 3.317629885210006e-05
10 8 2 1D  : 1.658814942605003e-05
3 53 54 54  : 1.658814942605003e-05
B B 19 54  : 1.658814942605003e-05
54 B 1D C6  : 1.658814942605003e-05
10 6 29 2  : 3.317629885210006e-05
14 19 E A  : 1.658814942605003e-05
2 1 6 7  : 3.317629885210006e-05
15 8 7 2  : 6.635259770420012e-05
8 7 8 7  : 0.0007630548735983013
2 15 8 7  : 1.658814942605003e-05
8 7 6 7  : 0.00026541039081680047
A 6 7 3  : 1.658814942605003e-05
