./opcode/0/5caf1deb7bbc28723f2a1af9492344fd.vir.txt
A A A A  : 0.18555008210180624
4 2 4 55  : 0.0016420361247947454
5B E 2 2  : 0.0008210180623973727
2 4 8 29  : 0.0008210180623973727
21 3 1D 15  : 0.0008210180623973727
9 2 15 21  : 0.0008210180623973727
9 1 1 1  : 0.0008210180623973727
1 2 2 12  : 0.0016420361247947454
2 4 12 F  : 0.0016420361247947454
A A F F  : 0.0016420361247947454
4 12 1 1  : 0.004105090311986864
1 2 12 2  : 0.0016420361247947454
55 5B 2 4  : 0.0008210180623973727
55 5B 1 1  : 0.0008210180623973727
12 2 4 12  : 0.0008210180623973727
2 B 2 2  : 0.0008210180623973727
2 2 4 55  : 0.0024630541871921183
5B 2 4 55  : 0.0008210180623973727
5B 1 1 1  : 0.0024630541871921183
12 4 12 F  : 0.0008210180623973727
10 1 2 B  : 0.0024630541871921183
2 12 2 4  : 0.0016420361247947454
2 1 2 4  : 0.0024630541871921183
10 A A 12  : 0.003284072249589491
B 1 1 2  : 0.0008210180623973727
55 5B 4 B  : 0.0024630541871921183
55 5B E E  : 0.0016420361247947454
8 29 2 2  : 0.0016420361247947454
3 1D 15 53  : 0.0008210180623973727
94 B 55 5B  : 0.0008210180623973727
53 94 B 55  : 0.0008210180623973727
5B E E 2  : 0.0008210180623973727
4 21 9 1  : 0.0008210180623973727
A F F 2  : 0.0016420361247947454
2 1 1 1  : 0.0008210180623973727
1B 2 2 4  : 0.0008210180623973727
21 29 E 2  : 0.0008210180623973727
1B 4 2 8  : 0.0008210180623973727
38 7 B 8  : 0.0008210180623973727
37 A 3 7  : 0.0008210180623973727
3 7 3 7  : 0.0008210180623973727
3 7 A 12  : 0.0008210180623973727
4 A 12 4  : 0.0016420361247947454
A 12 4 A  : 0.0008210180623973727
12 4 A 12  : 0.0008210180623973727
4 A 12 12  : 0.0008210180623973727
2 4 A 12  : 0.0024630541871921183
2 1 E 4  : 0.0016420361247947454
F F F F  : 0.0008210180623973727
1 1 1 12  : 0.0008210180623973727
1 2 E 12  : 0.0008210180623973727
5B E 2 4  : 0.0016420361247947454
2 E 2 4  : 0.0016420361247947454
4 2 21 3  : 0.0008210180623973727
1D 15 2 E  : 0.0008210180623973727
15 21 9 E  : 0.0008210180623973727
8 7 E 1  : 0.004105090311986864
8 1E 2 12  : 0.004105090311986864
4 2 E 2  : 0.0049261083743842365
2 4 6 7  : 0.0016420361247947454
1 1 E 2  : 0.0008210180623973727
4 1 1 E  : 0.0016420361247947454
1 2 4 10  : 0.0008210180623973727
55 5B E 2  : 0.0016420361247947454
4 55 5B 2  : 0.0008210180623973727
E 4 E 2  : 0.0024630541871921183
4 8 7 E  : 0.004105090311986864
1 8 1E 2  : 0.004105090311986864
12 4 2 E  : 0.004105090311986864
2 4 E 2  : 0.0049261083743842365
4 1 1 1  : 0.0008210180623973727
2 2 1B 2  : 0.0008210180623973727
1 2 1 E  : 0.0008210180623973727
